Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 99, 14696, No update data, 9g3qx2frde8h
Bird, MEX, c7ba67c8-b6b4-4cb8-a47a-a5f36c3fb5af, 34, 3841, No update data, 9g3qrrunbe2u
Bird, MEX, 745ec54e-192f-4ef3-b472-1d6251bf1c0e, 31, 3340, No update data, 9g3qx2yc0wbu
Bird, MEX, f002e574-1c16-4221-966c-46c3ebbcd75d, 30, 3173, No update data, 9g3qrrun8z7f
Bird, MEX, 40e5701a-28c0-4dde-b5fc-ed75bec16928, 28, 2839, No update data, 9g3qx2wbjhsw
Bird, MEX, 75830915-c9de-4e4c-8599-5f0c7b7969a9, 96, 13430, No update data, 9g3qx3425zhy
Bird, MEX, ef7c3963-44d9-4f30-bb99-7613e4ea5b1c, 64, 8851, No update data, 9g3qx2fr20js
Bird, MEX, 4b416bcb-f3be-448a-bba8-87ad0b3bf320, 93, 12956, No update data, 9g3qx2fr9t5w
Bird, MEX, d2b92387-ff28-4be1-87af-00dac8236dc8, 94, 13114, No update data, 9g3qx3425mh9
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 98, 13746, No update data, 9g3qx2frc2bm
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 52, 6478, No update data, 9g3qx2wym66f
Bird, MEX, 64d7f118-619e-4b8e-9e3d-39d081cfba8a, 93, 12956, No update data, 9g3qx342ee3d
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 81, 11690, No update data, 9g3qx2wzhurv
Bird, MEX, 24614693-b33c-435a-a697-c6f698a39bb0, 98, 14529, No update data, 9g3qx2yqy3s3
Bird, MEX, 38a3d427-41a4-4d20-bd07-9779bf566a83, 97, 13588, No update data, 9g3qx2frbnjw
Bird, MEX, ab8326d6-55ad-4a50-a779-b51097e17bef, 74, 9954, No update data, 9g3qx23cch40
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 60, 8183, No update data, 9g3qx2qb2yun
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 75, 10112, No update data, 9g3qx2qb04t9
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 37, 4342, No update data, 9g3qx2xj5kex
Bird, MEX, 52eae0a5-4b44-46ce-abc0-a630dbb9ecce, 30, 3173, No update data, 9g3qx2qcn1cm
Bird, MEX, d8fc7b06-a79e-41c7-9d7b-b9197f8e5a32, 30, 3173, No update data, 9g3qx21xnu8y
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 89, 13026, No update data, 9g3qx2z51gb9
Bird, MEX, d08a39fb-3943-405a-b8e7-592b95df7006, 51, 6680, No update data, 9g3qx2z4m1sy
Bird, MEX, 891b319b-fa3e-4265-8988-26782b49033e, 81, 11060, No update data, 9g3qx2r5y8de
Bird, MEX, 36e136c3-c739-484d-b965-6efc76e3896a, 89, 12324, No update data, 9g3qx2z4tk6b
Bird, MEX, a3904142-4bb0-4c82-b0b2-36cc8201c976, 62, 8517, No update data, 9g3qx2r5r4uj
Bird, MEX, 19d6b43c-bb9c-49a9-8556-f0b5c636e282, 75, 10688, No update data, 9g3qx2r4w9rw
Bird, MEX, dc222d23-7f4b-4202-b2b6-8f5de55a4490, 19, 1336, No update data, 9g3qrryrux7m
Bird, MEX, 6ac284f6-46a4-436c-ac42-68ee645278bd, 45, 5372, No update data, 9g3qx2z7e5qd
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 67, 9352, No update data, 9g3qx2xdfg56
Bird, MEX, 799b81c5-1bcf-474c-8856-a4c08b28d6a4, 36, 4175, No update data, 9g3qx2c5zpgb
Bird, MEX, 86533074-1fcc-4148-81ba-561c869239b1, 89, 12324, No update data, 9g3qx22zpfd3
Bird, MEX, 35f9cf14-cdb8-4a9f-a3dd-4d064cc4a4f9, 92, 12798, No update data, 9g3qx21mnfbf
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 88, 12166, No update data, 9g3qx21mq09p
Bird, MEX, 4404df5a-fc9e-4aa8-9174-8359e49155db, 46, 5845, No update data, 9g3qx2r7pgf8
Bird, MEX, 6e6eea1f-a407-4301-b10b-459ac872f4fa, 93, 12956, No update data, 9g3qx2zq8ckn
Bird, MEX, 62c8bbf3-a8c8-4cf1-89d8-c9ac9bceefd7, 62, 8517, No update data, 9g3qx3nth0en
Bird, MEX, 020ae21a-5192-412c-a151-8ed7d2c74b66, 72, 10187, No update data, 9g3qx3kkj4k8
Bird, MEX, 4a6b8c91-3f88-4711-b0b8-9090f4415701, 92, 12798, No update data, 9g3qx21mkj7h
Bird, MEX, 61018724-9135-4d5a-950d-983225954bf5, 71, 10020, No update data, 9g3qx2z7yt68
Bird, MEX, de559a16-112f-4af7-bb22-659ba6c581ba, 71, 10020, No update data, 9g3qx2r2jpuf
Bird, MEX, 793d9573-515d-4e32-8aa7-5fef3ddf947f, 93, 12956, No update data, 9g3qx2zpys49
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 78, 10586, No update data, 9g3qrrym8uhp
Bird, MEX, 90124454-41c3-4255-ac81-57eaf83e9575, 75, 10688, No update data, 9g3qx230kv17
Bird, MEX, dc8dba17-4285-46c5-8c88-cd9cbe3bbe33, 90, 13193, No update data, 9g3qx230jhks
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 54, 7181, No update data, 9g3qx230gtrb
