Bird, MEX, b09e2420-c45f-4fea-b3a0-310e7d842e05, 70, 9322, No update data, 9g3qx24zgdry
Bird, MEX, b23476fa-2d71-436d-a7ea-6bc82f4568fe, 91, 13360, No update data, 9g3qx26q5d99
Bird, MEX, b82900a2-e09d-4654-8219-14b87f3f8214, 90, 13193, No update data, 9g3qx2wq8bhn
Bird, MEX, 00fa3925-6cf5-43af-94fc-bc0474e49bd9, 67, 9352, No update data, 9g3qx2fy5txv
Bird, MEX, 542ec311-3ff0-4559-b963-403c49668ac7, 96, 13430, No update data, 9g3qx26m1tgw
Bird, MEX, 6b9dedd2-df91-4d53-beca-79a341cdc811, 45, 5372, No update data, 9g3qx257gms9
Bird, MEX, 33ed5e0e-5a63-434d-975e-5e53af3f751e, 75, 10688, No update data, 9g3qx2wqs5gn
Bird, MEX, 4c5e7e43-834b-4f97-9ee5-d25a9ff15b9e, 92, 13527, No update data, 9g3qx26jrb4k
Bird, MEX, 62c803ed-56c6-4d47-80e8-a7a8a215f461, 96, 14195, No update data, 9g3qx2dnw4xq
Bird, MEX, 3384db6e-31b3-44ff-8878-c06cb1d55930, 93, 13694, No update data, 9g3qx26m01bt
Bird, MEX, ea3548e2-6864-4b09-b247-4b1d19a1890f, 97, 13588, No update data, 9g3qx26k2wwu
Bird, MEX, f1a2eeb5-2f85-4e42-99a4-119d320d6d61, 97, 14362, No update data, 9g3qx2dntdty
Bird, MEX, c4cb69d3-6686-4405-868e-341e6a96d092, 92, 13527, No update data, 9g3qx26hyuvy
Bird, MEX, d14deddc-33f9-4be2-b545-2c4c970524f7, 48, 6179, No update data, 9g3qx2qmh681
Bird, MEX, 19ff8a79-71c2-42f0-b7e1-dbef44dd3e71, 98, 13746, No update data, 9g3qx26hr62c
Bird, MEX, 8f7a80cf-58df-44d7-8e43-126c46767b06, 67, 9352, No update data, 9g3qx265zvd6
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 93, 13694, No update data, 9g3qx26hy1x2
Bird, MEX, 845653c5-be67-45ca-a0dd-0be4b813d13c, 98, 13746, No update data, 9g3qx265zr2v
Bird, MEX, a07c6ff7-982e-4c28-bf48-499566204142, 100, 14062, No update data, 9g3qx2y5yj32
Bird, MEX, d37ccbe6-73a5-4399-a027-0bd5c7c634af, 92, 13527, No update data, 9g3qx264zf6q
Bird, MEX, c974ba66-8a08-48f0-92fc-a0f49aab4ffc, 46, 5530, No update data, 9g3qx25c837y
Bird, MEX, 5a0f3b70-2911-46fb-93a5-1b755815671e, 57, 7268, No update data, 9g3qx2f060g8
Bird, MEX, 3808331f-2a0e-4225-8df2-414d7ccbc53b, 78, 10586, No update data, 9g3qx2jvt7zv
Bird, MEX, 54b6d911-2950-4ddd-9798-ee2c0305269e, 88, 12166, No update data, 9g3qx2yk35f5
Bird, MEX, 7d6461b5-e421-49f0-9041-58c788bdce0e, 81, 11690, No update data, 9g3qx2jvp2xm
Bird, MEX, a001d9c2-c2d5-448b-a86c-8af59bc0877b, 80, 11523, No update data, 9g3qx34c248s
Bird, MEX, 6543a25c-1e7b-44f4-b168-3b22583edc41, 79, 11356, No update data, 9g3qx3jdg4y9
Bird, MEX, 6509c40a-9658-4cc6-9fa5-eb257e05022e, 74, 10521, No update data, 9g3qx24cz1gf
Bird, MEX, 4c09d5fb-6d29-49ee-8cea-f11fb3cc55f9, 55, 7348, No update data, 9g3qx29tn0p3
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 61, 8350, No update data, 9g3qx3hnsc3r
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 46, 5845, No update data, 9g3qx35wh2n6
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 52, 6847, No update data, 9g3qx35hekus
Bird, MEX, ac344e42-22c9-458b-91af-5a16e20f3faf, 97, 13588, No update data, 9g3qx2yfmvep
Bird, MEX, 9c6e0dcd-2637-4951-b10a-cb9dc81e2edb, 92, 12798, No update data, 9g3qx2xhhg3x
Bird, MEX, b496becf-5ed3-41a3-bbab-125fe37c00bc, 53, 6636, No update data, 9g3qx21z9vy9
Bird, MEX, 32b7a500-b0e9-452e-b849-7d3d8debe44e, 80, 11523, No update data, 9g3qrrvwb5ms
Bird, MEX, a409e3cd-02c3-4ab4-8e63-9d66b378c708, 89, 13026, No update data, 9g3qx21z2yeu
Bird, MEX, e2970864-d8f9-42a7-b6ad-f0859090cb97, 91, 13360, No update data, 9g3qx2z41zny
Bird, MEX, 1e704e80-36b8-4cd0-83ae-d3f972442ff2, 97, 13588, No update data, 9g3qx2yvg2gt
Bird, MEX, 05cb93ee-a049-4bc3-9fe5-a49e2a9ac031, 66, 8690, No update data, 9g3qx239cb86
Bird, MEX, ba602142-b0b8-4553-8553-559eecb4a368, 61, 7900, No update data, 9g3qrrvmsqn7
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 45, 5678, No update data, 9g3qx2z46s0j
Bird, MEX, f9264dfb-c90b-4f5b-a6ef-debf780b1523, 84, 12191, No update data, 9g3qx21y89nu
Bird, MEX, 1176d68c-ad80-41dc-a747-4743158244d9, 96, 14195, No update data, 9g3qx2z53zyv
Bird, MEX, dc5157af-ece8-4d69-9081-68fee59145b5, 93, 12956, No update data, 9g3qx2398s89
Bird, MEX, c79f37f9-1f22-4c2d-9b65-6d79d07e8583, 71, 9480, No update data, 9g3qx2392s0t
Bird, MEX, c77cf383-a3d5-4b83-aa43-8e52f26d1867, 98, 13746, No update data, 9g3qx2z55ukv
Bird, MEX, 33d7a366-1b7b-49e5-802a-3c512a04e1d8, 51, 6320, No update data, 9g3qx233wc0u
Bird, MEX, 46e64a0f-00ef-41a3-8d5a-b2bd0afc5716, 38, 4509, No update data, 9g3qx233wpzr
Bird, MEX, 1b879865-cbc1-46a5-9045-6cf5022dbc48, 66, 9185, No update data, 9g3qx291ww6t
Bird, MEX, 2811d5ea-c155-4f13-bec6-b42b68a7bf57, 56, 7515, No update data, 9g3qx295tuu5
