Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 79, 10744, No update data, 9g3qx2ps9h4r
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 91, 13360, No update data, 9g3qx215g8rb
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 35, 4008, No update data, 9g3qx2zwtf54
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 96, 13430, No update data, 9g3qx20uyn3p
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 85, 12358, No update data, 9g3qx214dpkf
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 96, 13430, No update data, 9g3qx2zvh6nr
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 49, 6004, No update data, 9g3qrrzpxkz7
Bird, MEX, 59b7f5e1-3272-448c-a687-2c6df93ea390, 87, 12692, No update data, 9g3qx214b4mq
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 73, 10354, No update data, 9g3qx2zvv4hv
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 93, 12956, No update data, 9g3qx8b5ckm6
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 97, 13588, No update data, 9g3qx8b5hm8j
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 94, 13861, No update data, 9g3qx2zywvjy
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 44, 5214, No update data, 9g3qx2zzt76f
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 91, 12640, No update data, 9g3qx8bj3x79
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 96, 13430, No update data, 9g3qx8b5jrff
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 94, 13114, No update data, 9g3qx8bjeubh
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 54, 6794, No update data, 9g3qx8bjhv9t
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 31, 3160, No update data, 9g3qx8bpbfu1
Bird, MEX, 3fad6a97-22d3-46ea-9174-ebe0e8d65c41, 82, 11218, No update data, 9g3qx8bnhser
