Bird, MEX, 63b2791f-ec0a-4936-8210-5a7a1862b646, 94, 13114, No update data, 9g3qx2h5fsj0
Bird, MEX, be104209-46e2-4927-9e95-4236b31ed02d, 76, 10855, No update data, 9g3qx2h5ckm6
Bird, MEX, 3b993380-e438-485d-bedf-fe2863fb803e, 94, 13114, No update data, 9g3qx2h5ubr8
Bird, MEX, 9f1b4fd5-a49e-46c1-815f-94ec9f445bdf, 94, 13114, No update data, 9g3qx2h5f15w
Bird, MEX, 755f91ca-3e3c-4ef5-b588-a49a06cb9b61, 89, 12324, No update data, 9g3qx2h5er76
Bird, MEX, 2a2cedb4-0e25-49fd-85f6-cf3896f94415, 79, 11356, No update data, 9g3qx2h5t6zz
Bird, MEX, 7974228b-748e-4ce0-acf0-0c07c4908c14, 90, 13193, No update data, 9g3qx2h5s5e5
Bird, MEX, 9fab3fe4-26aa-49d3-a36f-163b5b10cd93, 83, 11376, No update data, 9g3qx25m932q
Bird, MEX, e0d6e24d-8fe4-4b85-903f-4ec581a51fcc, 61, 7900, No update data, 9g3qx2q5g91y
Bird, MEX, 0880a21c-93e4-4e0e-bdf8-417f7f3f5c23, 89, 13026, No update data, 9g3qx2h5702m
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 93, 12956, No update data, 9g3qx2h538ex
Bird, MEX, 18b1e6f9-e9dc-4269-b766-1f409d65c4ee, 90, 13193, No update data, 9g3qx2h50mgy
Bird, MEX, 949ac7e9-2e36-439e-a0e3-f76b8cf9bf10, 89, 12324, No update data, 9g3qx26ks9u2
Bird, MEX, 08a5867f-6345-4c8c-9870-61487c1343bc, 75, 10688, No update data, 9g3qx2wprcrk
Bird, MEX, 5768e9c4-2ade-45a7-aad7-c81c608861d1, 98, 14529, No update data, 9g3qx2dq154j
Bird, MEX, 07ab928b-9892-4dd9-b3cb-d214bacc85c4, 65, 8532, No update data, 9g3qx2jh5vuy
Bird, MEX, c5286ece-5d2f-46e8-a9c1-8cf32bb9d7eb, 91, 12640, No update data, 9g3qx2dq29qu
Bird, MEX, d89cc7f4-3788-495d-9319-3c8e34a87023, 24, 2171, No update data, 9g3qx25kp2r5
Bird, MEX, 7f4ca622-92db-4d06-b32b-2732cd88e5db, 93, 12956, No update data, 9g3qx2dq810s
Bird, MEX, 19bfde22-cb56-48fe-9b3e-ed5f1e3fce70, 62, 8517, No update data, 9g3qx25k81b8
Bird, MEX, f8c45f13-ad29-48e3-8899-c51f87e979d3, 70, 6962, No update data, 9g3qx25fg838
Bird, MEX, 94477dd0-27ca-4732-8087-10a703326761, 78, 11189, No update data, 9g3qx2wr5jn9
Bird, MEX, 8fa447b8-51bd-497f-b59a-9111c5ff6cdb, 94, 13114, No update data, 9g3qx25fs3qq
Bird, MEX, 98b73a9d-abbe-49f9-8f75-2773560c76ce, 98, 13746, No update data, 9g3qx257sfre
Bird, MEX, 3358d608-0862-4bd2-bb3b-5d5dfeb77a31, 90, 13193, No update data, 9g3qx2wquxg2
Bird, MEX, f85e2b05-fb47-4d67-88a9-64351c6c59d3, 70, 9853, No update data, 9g3qx25dcvbe
Bird, MEX, 35867891-ad77-4cf0-befd-d8e1640d42ad, 90, 13193, No update data, 9g3qx25f39et
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 65, 9018, No update data, 9g3qx2wrnj9k
