Bird, MEX, be7f45e8-dfc4-4448-adce-e329fbd185bb, 94, 13114, No update data, 9g3qx2r2hfzf
Bird, MEX, ea08cdae-8068-4414-8e3e-bd17d9ed9de6, 24, 2171, No update data, 9g3qx28ckhzc
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 80, 10902, No update data, 9g3qrryjjdw0
Bird, MEX, 872fa5cf-b583-493c-a387-9e67fc3e54d4, 67, 8848, No update data, 9g3qx2ze0bup
Bird, MEX, 2e6d2236-b862-4a13-b251-57860a66e501, 54, 7181, No update data, 9g3qx28bgt9d
Bird, MEX, 61018724-9135-4d5a-950d-983225954bf5, 76, 10855, No update data, 9g3qx2zd9gqf
Bird, MEX, 917b5fbf-7a29-493d-951b-ea93dbffa032, 48, 5846, No update data, 9g3qx2xdxqp7
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 36, 4175, No update data, 9g3qx28c6wvn
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 62, 8517, No update data, 9g3qx2311xe2
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 85, 12358, No update data, 9g3qx2xxntds
Bird, MEX, 85258989-ba9d-4a53-b0e4-805542e73c00, 85, 11692, No update data, 9g3qx21pshzg
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 89, 12324, No update data, 9g3qx3m7q0z2
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 94, 13114, No update data, 9g3qx2zmpm35
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 79, 11356, No update data, 9g3qx3m7t2zg
Bird, MEX, 89a69735-9fae-4862-9f79-41521a94a0ae, 99, 14696, No update data, 9g3qx3m7t3rz
Bird, MEX, 19febfba-3469-48dd-a75f-f1fb64ec34b9, 96, 14195, No update data, 9g3qx3m7syrw
Bird, MEX, 668b17a0-00b0-4464-97ca-d998273380e0, 65, 9018, No update data, 9g3qx3p23jrj
Bird, MEX, e8a7ab1c-e142-448a-b410-912c06baf363, 99, 13904, No update data, 9g3qx2ze7qet
Bird, MEX, a3dd1cdd-17e4-4cb0-b99e-bb2f435c518c, 99, 14696, No update data, 9g3qx3m7umym
Bird, MEX, 32cb2fcb-39f3-4ec1-b35c-7f55c9b32cb3, 93, 12956, No update data, 9g3qx2zdq0c2
Bird, MEX, 12097490-68fa-430f-b85a-149b9ee69074, 94, 13114, No update data, 9g3qx2zs5pw8
Bird, MEX, 199e04b5-12c2-4a2d-a4f3-a12c3befeb25, 88, 12166, No update data, 9g3qx3m7vvum
Bird, MEX, 5a33c1eb-02b3-406f-a95e-2fd03b186eb0, 98, 14529, No update data, 9g3qx3mkht53
Bird, MEX, 9c03be33-e196-47dd-abe4-27ecf135ee76, 57, 7682, No update data, 9g3qrryz3bqv
