Bird, MEX, d4c4b2d7-b6c7-45c7-baed-4e996376cf20, 27, 2672, No update data, 9g3qqrmmdqp4
Bird, MEX, c8fd3272-1c71-475e-a159-c46b697a3cbb, 44, 5511, No update data, 9g3qqr5r7358
Bird, MEX, 567f2060-4f39-4e72-ab29-ded8580667d1, 22, 1738, No update data, 9g3qr5vvsu3m
Bird, MEX, 62144415-78f8-40ee-8970-d168548ff070, 89, 12324, No update data, 9g3qr5t7n1ph
Bird, MEX, 995e01a5-8df3-43c7-915c-16dc953add25, 51, 6680, No update data, 9g3qr5t6spdb
Bird, MEX, f7509038-7205-4866-8f2c-58da3801d556, 72, 10187, No update data, 9g3qrhq60407
Bird, MEX, 2c98a444-2228-43f5-acad-49ec59b0a035, 56, 7515, No update data, 9g3qr5ufwquh
Bird, MEX, f2c52f1a-51ab-42ec-bd13-db350292e4b7, 49, 6004, No update data, 9g3qrhv4c43g
Bird, MEX, 0da71918-ee4c-44ee-9dfb-f495d77f2196, 24, 2171, No update data, 9g3qrhu4nu29
Bird, MEX, dc9fcf60-19b9-4382-a600-2f36809a62ba, 72, 9638, No update data, 9g3qrhu4nedm
Bird, MEX, 97808fc6-fe0f-4482-8e0f-e7170de82a26, 94, 13114, No update data, 9g3qrhuxqx4m
Bird, MEX, bc73c75d-8f9b-4bb4-bcd5-0fc37dc70d27, 18, 1169, No update data, 9g3qrjj1bp02
Bird, MEX, 287da157-b274-4efb-ac59-9b39f3b96195, 71, 9480, No update data, 9g3qrj5q3zy3
Bird, MEX, 7b0a78b0-3409-4739-80e3-f1942e4211b2, 89, 12324, No update data, 9g3qrj5nfsug
Bird, MEX, d2ab8787-2600-463d-a7c6-0a2bca0d3e53, 75, 10112, No update data, 9g3qrj5nftky
Bird, MEX, d76e36ab-2579-4350-9891-3340721bca38, 73, 10354, No update data, 9g3qrj76nd4k
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 70, 9322, No update data, 9g3qqgzszffn
Bird, MEX, cbf31b92-8e40-4df9-8fa9-e9fc7a1c8b57, 48, 5846, No update data, 9g3qrj77q52y
Bird, MEX, e22a29c8-9683-44a0-9ef8-19cc888e6621, 82, 11218, No update data, 9g3qrj77q5bb
Bird, MEX, 84dd4d43-d46a-49aa-b409-51d475046eb7, 62, 8058, No update data, 9g3qrj77tb5g
Bird, MEX, d6b92cb3-a056-4c0b-8772-84668e459283, 54, 6794, No update data, 9g3qquqewjzp
Bird, MEX, eb311dcc-49f2-48c0-a7e5-6a607a3770ff, 80, 11523, No update data, 9g3qrj363s7h
Bird, MEX, a162bab9-02fd-48e4-bb70-a3feeff52991, 65, 8532, No update data, 9g3qrjd365u8
Bird, MEX, 5edfcf74-bc17-4e0c-ad50-ea0a7202df1f, 55, 7348, No update data, 9g3qrj9zhc90
Bird, MEX, c4f44df4-d37b-4c72-8a1f-b1ce4d4e6169, 46, 5845, No update data, 9g3qrjdnghw1
Bird, MEX, 723f5030-c600-48c6-bd81-adb8c457e1aa, 65, 9018, No update data, 9g3qrjdngysx
Bird, MEX, d6cd9399-6f42-4392-abc0-9483f9b7652c, 52, 6847, No update data, 9g3qrjdsqnr0
Bird, MEX, c43a159c-6ef9-45b9-a1e7-b70969783892, 61, 7900, No update data, 9g3qrjdp7yk8
Bird, MEX, cde990b3-2a92-45aa-a442-033686d789be, 70, 9322, No update data, 9g3qrjdswy08
Bird, MEX, f6ede19d-5306-4224-81de-c8f7fb85a0bb, 56, 7110, No update data, 9g3qrqf7zbd3
Bird, MEX, c2e24d93-f360-432d-bead-510f8c99fd5c, 44, 5214, No update data, 9g3qrqf7wedd
Bird, PBC, c7972ae7-bf69-4a82-b610-fbd7e9313832, 100, 14863, No update data, 9g6h7n4gp5s1
Bird, PBC, 16c614eb-2bf8-488c-a48d-aca9b3ca57b1, 100, 14863, No update data, 9g6h7n4gp3cp
Bird, PBC, 6e54d93d-8197-4d8f-9347-6d1342c419ef, 100, 14863, No update data, 9g6h7n4gp2rn
Bird, PBC, e85f5e77-49d9-4b00-bfad-dd408fc8c8d2, 87, 12692, No update data, 9g6h7n001g0r
Bird, PBC, 3c9b23e8-a3ff-42a7-b6e8-9ed7ca23dcc9, 100, 14863, No update data, 9g6h7jf2jhkx
Bird, PBC, 916b446d-70e7-4e8e-bdfb-1cc982cc07ec, 100, 14863, No update data, 9g6h7jdrxkp0
Bird, PBC, 1de1932e-6703-4e12-ab26-9bd3a8c5ec0b, 100, 14863, No update data, 9g6h7jrpgmgw
Bird, PBC, 61ff65d4-0520-4345-b346-f6dbf662af7a, 91, 13360, No update data, 9g6h7jrpgutn
Bird, PBC, 2eb776f3-e8bc-4cdd-ae92-e38404612675, 100, 14863, No update data, 9g6h7jrpggv0
Bird, PBC, f50089f7-c99f-487e-babf-30ff1681df2c, 100, 14863, No update data, 9g6h7jq2fwjp
Bird, PBC, 530d6b17-82a0-49ac-ad4b-f4871f2827f8, 100, 14863, No update data, 9g6h7jq2f7rn
Bird, PBC, 39b22b99-e3c9-4ffe-b2ec-69cb5180ce1d, 100, 14863, No update data, 9g6h7jq2gz0j
Bird, PBC, f2f38284-b6bc-477e-aecb-83d741078582, 100, 14863, No update data, 9g6h7jq2epne
Bird, PBC, 7715ad14-2e09-42e8-95cc-788eb13b76b1, 100, 14863, No update data, 9g6h7jnky4pw
Bird, PBC, 167116ed-f3ae-4be8-beea-a5fc3a98e8bd, 100, 14863, No update data, 9g6h7jnkygmy
Bird, PBC, 0e7b69ba-a3c7-4032-994e-be40e6bd82b3, 100, 14863, No update data, 9g6h7jnkwrsw
Bird, PBC, 696b2d40-77ed-4ec8-918c-fa5a1175e946, 100, 14863, No update data, 9g6h7jnkw6sx
Bird, PBC, ea4d32a7-47d7-4d58-9a1b-666ecb2de1f4, 100, 14863, No update data, 9g6h7jnc1nx7
Bird, PBC, 1aa74363-d264-40bd-bf5b-c107e32d0ade, 100, 14863, No update data, 9g6h7jnc0ck4
Bird, PBC, be0f4964-2c0e-47b9-bb17-18cf97a6d631, 100, 10502, No update data, 9g6h7jnc11xk
Bird, PBC, 7bb4253b-c32d-4050-a797-6f6906e5e4cd, 100, 14863, No update data, 9g6h7jnc0bh5
Bird, PBC, 438a6b8a-c34f-4328-a7b2-18b54c3416e4, 100, 14863, No update data, 9g6h7jnc11r6
