Bird, MEX, 99176e95-5404-4245-a4e1-abcf9f33b9a4, 96, 14195, No update data, 9g3qrm8d1eeq
Bird, MEX, ac7c006a-4281-4c1e-a6a2-a00db9a3e53b, 55, 7348, No update data, 9g3qrjw0rmxh
Bird, MEX, 26e05cf6-bc32-46e8-aec2-40afd5eb7e43, 100, 14863, No update data, 9g3qrjqz1n4j
Bird, MEX, b560e44d-8746-4595-b9f9-2a8f09e37304, 100, 14863, No update data, 9g3qrjqz0kee
Bird, MEX, c2723f03-64c1-4928-a9df-f7bba281ff16, 100, 14863, No update data, 9g3qrjqz0eyz
Bird, MEX, 76ebf6af-6320-4fe5-90ae-6d7f13655a69, 100, 14863, No update data, 9g3qrjqz0gj4
Bird, MEX, 04f4084d-9625-4202-ad41-f8d753a3be4f, 49, 6004, No update data, 9g3qrjszzr0c
Bird, MEX, e52d5d86-6610-4aec-bf99-da8916cedc6f, 73, 10354, No update data, 9g3qrmc2juun
Bird, MEX, b42f1d61-f516-4e68-9c37-f41ec965e087, 73, 10354, No update data, 9g3qrmcv0hvw
Bird, MEX, dcd2749b-a78a-48bd-bbe0-3e42cdc41eba, 100, 14062, No update data, 9g3qrjub6hks
Bird, MEX, 14fb6c22-2874-45f0-bdaf-f199b0eef27a, 99, 14696, No update data, 9g3qrm889y8k
Bird, MEX, bb688337-d493-4fb0-83ff-c7a8c12aa7a9, 100, 14062, No update data, 9g3qrm889t7k
Bird, MEX, 47c35824-5190-4025-a7f4-7d8ec7bb96b1, 99, 14696, No update data, 9g3qrm882qe9
Bird, MEX, dd04501b-8b30-4a84-a119-02bb88fae149, 100, 14863, No update data, 9g3qrm889eg7
Bird, MEX, 288e9f60-4726-43c5-bff0-22dfb0a5f920, 100, 14863, No update data, 9g3qrm882w28
Bird, MEX, 441cd7c5-94d8-47b8-a431-b9b6fdd5697d, 100, 14863, No update data, 9g3qrm889g83
Bird, MEX, e484f4e0-0a41-4b05-85e4-5b9bef56bcaa, 96, 14195, No update data, 9g3qrm882wqb
Bird, MEX, 7b08268a-c6fa-4e57-a898-225bad1bb55b, 99, 14696, No update data, 9g3qrm882tyy
Bird, MEX, 10e59bcc-5483-4164-bb12-ed149907aa5c, 100, 14863, No update data, 9g3qrm883nd1
Bird, MEX, ae695be3-0075-4edb-a83a-94c3639e67f3, 100, 14062, No update data, 9g3qrm88d79c
Bird, MEX, a3a24e72-8611-4bd4-a541-115057708d52, 100, 14863, No update data, 9g3qrm883m8k
Bird, MEX, 239cd58d-4460-4ac0-91dc-2632951e2986, 79, 11356, No update data, 9g3qrmcvd8mn
Bird, MEX, da40ebf7-651f-46d7-b32d-c9d64213c45b, 89, 12324, No update data, 9g3qrmc8gdcx
Bird, MEX, 8ba8c16a-b3b1-4458-8e21-12a0f49bdd1e, 100, 14062, No update data, 9g3qrjub178n
Bird, MEX, 63aa6520-bf0a-45ea-bcf5-9865a15c3dcd, 88, 12166, No update data, 9g3qrmc8g8py
Bird, MEX, 0c77d2be-4ef6-4b9c-9f49-a58202b7a6a6, 100, 14863, No update data, 9g3qrm887p2p
Bird, MEX, a8bfc90c-a9e1-4be1-ab3f-1761a8e9625a, 100, 14062, No update data, 9g3qrjub0uuy
Bird, MEX, 1a39eb17-eb93-4766-b443-56a5fdaad5ce, 100, 14062, No update data, 9g3qrjub119b
