Bird, MEX, 72f06b9f-866d-4f91-ab4f-fbcf30e96930, 45, 5372, No update data, 9g3qx23epehj
Bird, MEX, 5c0c2710-6988-4724-83d3-75c0f4b4b4cf, 58, 7426, No update data, 9g3qx24n3vnd
Bird, MEX, 97f536f7-7fd5-4d5f-8ca6-681b95b662f4, 69, 9686, No update data, 9g3qx2xnc56k
Bird, MEX, c8042a6b-5832-412d-a797-ea6375a3937f, 66, 9185, No update data, 9g3qx23ehfze
Bird, MEX, 900624f5-897d-42e1-ac48-8ce867af8d5a, 89, 12324, No update data, 9g3qx23duu12
Bird, MEX, 141481f8-d192-4ac9-adb3-e218dc7855d8, 80, 10902, No update data, 9g3qx2yfz295
Bird, MEX, 7a244aa2-c9d2-4e3d-9807-2434242c2bb6, 47, 5688, No update data, 9g3qx2x5qj9r
Bird, MEX, 96c1323b-ce0d-44c7-9a44-6666db871a98, 79, 10744, No update data, 9g3qrrvq508m
Bird, MEX, 2060f23d-dd30-4fad-9df9-51ae4afef0d6, 87, 12692, No update data, 9g3qx2yvhmwm
Bird, MEX, d0823345-b8c6-476b-b399-8d00c4f8d406, 82, 11218, No update data, 9g3qx2z44k6j
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 83, 11376, No update data, 9g3qx2z46d8h
Bird, MEX, 4655d752-04a9-4028-962c-0beb1f5455f6, 88, 12166, No update data, 9g3qx23d2hb9
Bird, MEX, f63c3a17-2c22-4183-a7a7-ca571f3cb2c8, 67, 8848, No update data, 9g3qx2z4e0b6
Bird, MEX, bc03ac2e-02f6-4459-ae14-cd8f0f24e3de, 42, 4898, No update data, 9g3qx2csuje4
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 90, 13193, No update data, 9g3qx2yvjze0
Bird, MEX, 1ba2076a-c5ee-4b15-8423-b3a3a18e9287, 99, 13904, No update data, 9g3qx236r8sp
Bird, MEX, a0336dc2-b55c-4bc7-b374-bca41585f67c, 92, 13527, No update data, 9g3qx2yvqj3m
Bird, MEX, 2e1ac500-e4b8-470c-9065-1f152038be2c, 82, 11218, No update data, 9g3qx2z4gk58
Bird, MEX, ceb26f54-09ec-44b4-b928-476cf5a82926, 94, 13114, No update data, 9g3qx21xkmqh
Bird, MEX, 3920bda7-b0f7-4ee7-ad10-1b8c92d03dea, 76, 10855, No update data, 9g3qx236q3ur
Bird, MEX, 24ad8133-a7fa-4cf0-8e41-66fac3d9959f, 94, 13114, No update data, 9g3qx21wqdft
Bird, MEX, 6f8130ff-0110-410a-a838-ad21ad88e88a, 96, 13430, No update data, 9g3qx21wmrrb
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 83, 12024, No update data, 9g3qx2z5g35x
Bird, MEX, c8bcfb7d-1d1c-444e-8740-47810b5a00c2, 93, 12956, No update data, 9g3qx233y2s6
Bird, MEX, 2a5325db-3946-4d15-ac61-26abefd8c45e, 52, 6847, No update data, 9g3qx2z5evhy
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 85, 11692, No update data, 9g3qx236m0sx
Bird, MEX, 847e0733-5631-469d-a432-1495ff3996af, 92, 12798, No update data, 9g3qx21wgghf
Bird, MEX, 7181da95-aada-4f09-abc7-b0a9b22f0195, 92, 13527, No update data, 9g3qx233vmfg
Bird, MEX, 4caf17b2-5dfe-4e34-8ecc-03927add5088, 91, 13360, No update data, 9g3qx2zj8gsh
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 88, 12166, No update data, 9g3qx233mrdf
Bird, MEX, 890d4dac-c1da-489d-b3a9-6961756c31f2, 49, 6346, No update data, 9g3qx3njky9t
Bird, MEX, eb0a9af9-09bb-4a85-9b1f-37d0512f7ceb, 84, 11534, No update data, 9g3qx23653k9
Bird, MEX, d80dd3a9-e8bc-4c1e-ab47-0b0ab0006477, 40, 4582, No update data, 9g3qx3nm2uu4
Bird, MEX, fab2725e-6ed9-4a78-9747-f58fc250f902, 75, 10688, No update data, 9g3qx23p58pc
Bird, MEX, aecb2517-a087-407e-a8f5-4d17b824c384, 92, 13527, No update data, 9g3qx23ne524
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 81, 11060, No update data, 9g3qx290cvbk
Bird, MEX, 5f9c0ed0-9f8e-463e-9204-bede425c20e4, 45, 5372, No update data, 9g3qx21sepyq
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 92, 13527, No update data, 9g3qx21qnru3
Bird, MEX, afd83cfb-b402-4464-ac5a-a442532379b7, 85, 11692, No update data, 9g3qx21qn5z2
Bird, MEX, 8c3bbb45-954b-4824-be25-c5bec69281c7, 87, 12008, No update data, 9g3qx2912hv3
Bird, MEX, 9e2076dd-7e4a-4c88-b519-5b4d6b32bd96, 93, 12956, No update data, 9g3qx23nc223
Bird, MEX, ae1acd5e-47c5-44ab-b0f3-c5fbae204d43, 79, 11356, No update data, 9g3qx23n3ndh
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 93, 13694, No update data, 9g3qx21mvzkj
Bird, MEX, b2e3c829-5ace-41a0-a656-23f18e4fb866, 80, 11523, No update data, 9g3qx2z6q3ks
Bird, MEX, 02006705-1f0f-45ac-a77b-0e0d538e4b93, 93, 12956, No update data, 9g3qx28cph7u
