Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 66, 9185, No update data, 9g3qx233yp3j
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 98, 13746, No update data, 9g3qx2z5n0xt
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 58, 7849, No update data, 9g3qx2yypzf6
Bird, MEX, 5afc80cc-72a4-4b0a-abe4-8754db170830, 98, 13746, No update data, 9g3qx21x1mtk
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 96, 14195, No update data, 9g3qx3m1e35t
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 97, 13588, No update data, 9g3qx2z5pdhr
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 97, 14362, No update data, 9g3qx3m1mnst
Bird, MEX, 41ebf7cc-e421-4243-99f1-8a33edc7bb43, 99, 13904, No update data, 9g3qx3m1mrd5
Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 67, 8848, No update data, 9g3qx2znfxb0
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 61, 8350, No update data, 9g3qx29419gm
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 78, 10586, No update data, 9g3qx3ns81mx
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 99, 13904, No update data, 9g3qx2znjrxb
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 89, 13026, No update data, 9g3qx29424bt
Bird, MEX, 463fbfec-c83a-4593-a030-20c125df1f5f, 98, 13746, No update data, 9g3qx2942429
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21mruf3
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 45, 5678, No update data, 9g3qx2328n2t
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 96, 14195, No update data, 9g3qx21mqmsq
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 98, 13746, No update data, 9g3qx3p06k6p
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 91, 13360, No update data, 9g3qx28fwpp3
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 94, 13114, No update data, 9g3qx230wg2c
Bird, MEX, c89e2458-487a-45c4-af35-80e7f1325411, 33, 3674, No update data, 9g3qx231t1kw
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 51, 6680, No update data, 9g3qx2xdst5m
Bird, MEX, d06a95c6-2924-464b-825d-e9d1c0ee4a7c, 72, 9638, No update data, 9g3qx28fnh9n
Bird, MEX, c1ed9555-d7ce-4c0a-8d50-dcaccdcc6a96, 92, 12798, No update data, 9g3qx2znzhh0
Bird, MEX, d563e036-909c-43dc-9f63-a2d57f8b4ab2, 94, 13861, No update data, 9g3qx21mnh3h
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 97, 13588, No update data, 9g3qx230vkp8
Bird, MEX, ddd327f8-abc8-44c8-b1e1-fa8a772368f1, 94, 13861, No update data, 9g3qx28fj36c
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 74, 9954, No update data, 9g3qx28fkdk3
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 97, 13588, No update data, 9g3qx3m6y1z7
Bird, MEX, 426af09a-5a06-4a69-8f6c-41e3d6c27601, 97, 13588, No update data, 9g3qx230gw1t
Bird, MEX, b165a585-34ef-49ee-9a32-6246522edc71, 97, 13588, No update data, 9g3qx2zpz6z3
Bird, MEX, 75b3e13f-1c08-472b-96b5-07763bc3b599, 83, 11376, No update data, 9g3qx28f5x1w
