Bird, MEX, c2e69d59-107f-4faf-b177-da9a0ff6b555, 81, 11690, No update data, 9g3qx2fr1uwx
Bird, MEX, 487fdc36-4359-403c-a1c2-9f1ca3a0b620, 79, 10744, No update data, 9g3qx34f2sqz
Bird, MEX, 41f2431a-3e23-4ca9-9d67-6e42559b78bc, 61, 8350, No update data, 9g3qx35tsfpe
Bird, MEX, 2834a400-5b1e-4abd-ba53-0b8718b8a2d9, 88, 12166, No update data, 9g3qx2fr3g22
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 97, 13588, No update data, 9g3qx2yeskyk
Bird, MEX, 63b9a7b7-41aa-4379-b35d-d4a49adecd85, 74, 10521, No update data, 9g3qx3hnsgrd
Bird, MEX, 6b706d64-0df8-4829-b7f2-19558573cfcd, 69, 9686, No update data, 9g3qx35hsqnk
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 52, 6847, No update data, 9g3qx2yeuzc8
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 71, 10020, No update data, 9g3qx2yshser
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 65, 8532, No update data, 9g3qx2yey41m
Bird, MEX, c11ade85-8e1b-467c-80cc-c559b01f7118, 21, 1670, No update data, 9g3qx2xh8q5g
Bird, MEX, e47757a0-3f03-47ca-8cbc-a3970155b954, 39, 4676, No update data, 9g3qx2q8qt6t
Bird, MEX, 88ecde63-0b08-498e-8e75-242bc9aa80f6, 63, 8684, No update data, 9g3qx2xp01m9
Bird, MEX, 9d630ba8-dddb-49a5-959f-460948f5c59d, 33, 3674, No update data, 9g3qx2nxtfur
Bird, MEX, 68405086-dcb8-467e-93c0-02f5b30cb889, 66, 8690, No update data, 9g3qx2nxxrcp
Bird, MEX, 6a032e68-b1df-4b41-82cd-feb43aa81e9d, 64, 8374, No update data, 9g3qx2nzbt8c
Bird, MEX, b8a406d0-21a3-47d2-8c38-904871c4fe0b, 85, 11692, No update data, 9g3qrrvqygmu
Bird, MEX, d2c0650a-83c1-4f71-9d2c-923176153731, 38, 4509, No update data, 9g3qx34vueh7
Bird, MEX, 9c49f51f-daaf-49ba-89db-bc6e4a0f8077, 48, 5846, No update data, 9g3qx29m0env
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 53, 6636, No update data, 9g3qx233ryfq
Bird, MEX, 0cf2fd66-b439-4624-9d9c-aa8d0078e893, 31, 3340, No update data, 9g3qrrugsf13
Bird, MEX, 891fc6a9-d894-4669-a06a-d0e2a7c8db33, 87, 12008, No update data, 9g3qx2r4nsxw
Bird, MEX, 1bd33212-824d-4683-97ca-9f9efbc02fdf, 48, 5846, No update data, 9g3qx2r4pr1n
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 93, 12956, No update data, 9g3qx2z4zvfs
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 92, 13527, No update data, 9g3qx3m1qdds
Bird, MEX, a428309e-32dd-4b83-8d2e-1898ddc18a04, 92, 13527, No update data, 9g3qx3m1t0ue
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 94, 13114, No update data, 9g3qx232t0ud
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 96, 13430, No update data, 9g3qx2z63hrp
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx232hy32
Bird, MEX, f01b6072-8cec-4a8f-a633-844c23e827c2, 82, 11857, No update data, 9g3qx2z71jzn
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 88, 12859, No update data, 9g3qx290dz75
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 53, 7014, No update data, 9g3qx2324y70
Bird, MEX, 7fa226d7-bd68-493d-b1f7-c7058b5b7b97, 63, 8684, No update data, 9g3qx232c7tq
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 75, 10112, No update data, 9g3qx3nesr8j
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 82, 11857, No update data, 9g3qx2321z82
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 87, 12692, No update data, 9g3qx23jczwx
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 30, 3173, No update data, 9g3qx21f1byx
Bird, MEX, 8ee4d6a4-c78a-456c-a92a-23478e3b05e3, 53, 7014, No update data, 9g3qx231p57y
Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 89, 13026, No update data, 9g3qx21rc3t2
Bird, MEX, b1ce5df1-99c2-4c10-88e2-ba5175042ffe, 36, 4175, No update data, 9g3qx3p0e48q
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 92, 12798, No update data, 9g3qx231hth2
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 44, 5511, No update data, 9g3qx21pyhp2
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 72, 9638, No update data, 9g3qx28ceerf
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 53, 6636, No update data, 9g3qx3md9rj6
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7jzs3
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, 0f1178ca-63e7-4f0f-92e6-c99a4faec8e2, 80, 10902, No update data, 9g3qx3mdgnnw
Bird, MEX, c978653b-9807-40e9-a1c0-a8ec612e570f, 76, 10855, No update data, 9g3qx21pghbn
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 94, 13114, No update data, 9g3qx230995k
Bird, MEX, a7ab019e-2608-492f-b4d9-3c890311224d, 39, 4676, No update data, 9g3qx2zt21ms
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx21pd92n
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7ue7m
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7vphs
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 60, 7742, No update data, 9g3qrrv9y7ur
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 88, 12859, No update data, 9g3qx2zt6peg
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31yvxju
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 29, 3006, No update data, 9g3qrrf7m6zv
Bird, MEX, 234939d4-0e76-49a8-9988-f35b2126ef93, 89, 13026, No update data, 9g3qx3nx7k5w
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 42, 5177, No update data, 9g3qrrv9x1sp
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 75, 10688, No update data, 9g3qx3ms5nq9
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 84, 11534, No update data, 9g3qx21hkvxw
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 93, 13694, No update data, 9g3qx215uhrf
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 96, 13430, No update data, 9g3qx215sfzx
