Bird, MEX, 79d291b2-69b0-43ec-9896-0d8abf12e3d6, 96, 14195, No update data, 9g3qx3pcrzde
Bird, MEX, 5df399cc-f0db-4352-af98-42b0243cb1de, 99, 14696, No update data, 9g3qx8bntg74
Bird, MEX, 94235d68-ce38-4f45-b8d8-544f4a1285f3, 97, 14362, No update data, 9g3qx3pfp0kh
Bird, MEX, dde13183-3663-4df6-be0d-4a2b9dd3e6c1, 100, 14062, No update data, 9g3qx20mtysp
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 88, 12166, No update data, 9g3qx20qs0w3
Bird, MEX, b2d0a4fd-90b4-45d4-954b-2f5214ec72f2, 53, 7014, No update data, 9g3qx302npx2
Bird, MEX, 9d3c5c60-4dc8-468e-a17c-5c6b66851b34, 96, 14195, No update data, 9g3qx900k97k
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 99, 13904, No update data, 9g3qx20mjnk8
Bird, MEX, dbd9bfe2-324c-4c64-a50a-ac74fd5f7ae8, 96, 14195, No update data, 9g3qx8bpqcmu
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 99, 13904, No update data, 9g3qx900nj37
Bird, MEX, ac4066cd-8448-40f3-8b8e-689d5274c5fe, 100, 14062, No update data, 9g3qx20m5t18
Bird, MEX, e52dc642-5d58-4120-b47a-9861ccd1a3b8, 99, 14696, No update data, 9g3qx20md880
Bird, MEX, cd95f935-c48d-4388-a01c-e47fdd6bfdf9, 67, 8848, No update data, 9g3qx82x4bem
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 73, 9796, No update data, 9g3qx3r82jmw
Bird, MEX, a6cc2f27-cf05-4abf-b878-9b1fb6b1b336, 83, 12024, No update data, 9g3qx208unzc
Bird, MEX, fd261ac8-0bb0-4a07-b864-034a00ba74f9, 94, 13861, No update data, 9g3qx20m64sg
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 98, 14529, No update data, 9g3qx900py69
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 99, 13904, No update data, 9g3qx20ke5bj
Bird, MEX, d283b21d-208c-4a41-99a9-85fcc286ae5f, 100, 14863, No update data, 9g3qx20kfhkf
Bird, MEX, cb60115d-829f-477a-9748-ed12db54bf3f, 97, 14362, No update data, 9g3qx20jzg46
Bird, MEX, 1f48fb27-d30a-48c6-95ce-f2a7ca904108, 100, 14062, No update data, 9g3qx20m8jb3
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 98, 14529, No update data, 9g3qx20jzsh0
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 72, 9638, No update data, 9g3qx3r6dk60
Bird, MEX, 2604aa07-f3ee-49bc-8a38-d69f285f884c, 97, 14362, No update data, 9g3qx203x9sp
Bird, MEX, e9e854b7-c1a7-47d0-9ee1-2b5cb371cd73, 100, 14062, No update data, 9g3qx203yg8w
Bird, MEX, ecf28973-86e1-40f1-ad9c-56069619a0ae, 100, 14062, No update data, 9g3qx203xkbg
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 62, 8517, No update data, 9g3qx3r6f8m4
Bird, MEX, 9a922753-3882-4fa2-845d-1078fe4028a0, 100, 14062, No update data, 9g3qx203wvv9
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre97pb7
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre97sc8
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 100, 14062, No update data, 9g3qx203wkhr
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 96, 14195, No update data, 9g3qx8brkbzb
Bird, MEX, dcfec459-0f95-4f7e-b414-29d9d984eed3, 100, 14863, No update data, 9g3qx203w7k3
