Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 73, 10354, No update data, 9g3qx2zsskyk
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 61, 7900, No update data, 9g3qrrv9rkpk
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 96, 13430, No update data, 9g3qx21jh051
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 78, 11189, No update data, 9g3qx3msh3q6
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 94, 13861, No update data, 9g3qx21hn490
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 90, 13193, No update data, 9g3qx2zsqwxt
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 30, 3173, No update data, 9g3qrrf6uj5p
Bird, MEX, 463fbfec-c83a-4593-a030-20c125df1f5f, 98, 13746, No update data, 9g3qx28s5buz
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 44, 5511, No update data, 9g3qrrvc1rjm
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 98, 13746, No update data, 9g3qx21hh9k3
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 85, 11692, No update data, 9g3qx215tmz9
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 57, 7682, No update data, 9g3qrrf9ffg2
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 97, 13588, No update data, 9g3qx21h79zz
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 96, 14195, No update data, 9g3qx215tpkd
Bird, MEX, ce10adb6-ac14-4ffb-ba63-ae5bfe881d25, 69, 9164, No update data, 9g3qrrcugfub
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 51, 6320, No update data, 9g3qx22eshdc
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx2zxjsqj
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 54, 7181, No update data, 9g3qx2zwrek2
