Bird, MEX, 45221336-d81b-41e1-9373-7ee3ac5f4efb, 80, 11523, No update data, 9g3qx8bj7hnt
Bird, MEX, b700178c-f2ec-4999-a458-6375b87bedbb, 64, 8374, No update data, 9g3qrrsgfs21
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 78, 11189, No update data, 9g3qrrdr5pnm
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 74, 10521, No update data, 9g3qx22nts8c
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 88, 12859, No update data, 9g3qx281hmn0
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 74, 9954, No update data, 9g3qx3dbm5sd
Bird, MEX, 40f3fe74-6fb4-4d3f-92ab-c086b6ca5a33, 94, 13861, No update data, 9g3qx20mq9fx
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 27, 2672, No update data, 9g3qrrbzjzhj
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 98, 14529, No update data, 9g3qx901bq5y
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 73, 10354, No update data, 9g3qrrdsxmrn
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 76, 10855, No update data, 9g3qx20mkfxe
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 83, 12024, No update data, 9g3qx88w1gb9
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 51, 6320, No update data, 9g3qrrdnd73c
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 93, 13694, No update data, 9g3qx20q16b6
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 88, 12166, No update data, 9g3qx302e2ue
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 42, 4898, No update data, 9g3qrrz4n2kd
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 82, 11218, No update data, 9g3qx20mbkgw
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 33, 3674, No update data, 9g3qrrby6d85
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 93, 13694, No update data, 9g3qx20m85m3
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx302d73f
Bird, MEX, 0f5ca52a-063f-43c2-ba3b-02ebc257d43a, 29, 3006, No update data, 9g3qx302dx01
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 75, 10112, No update data, 9g3qx20jzjec
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 91, 13360, No update data, 9g3qx20jxes5
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 81, 11690, No update data, 9g3qrrzz5f80
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre98w0f
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc4r3xj
Bird, MEX, 71663621-dcf2-43c0-a038-20e1745ce557, 84, 12191, No update data, 9g3qx20jvbs4
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 89, 12324, No update data, 9g3qx20jw531
Bird, MEX, dbe3520a-b284-45f9-a9f4-28d29248636b, 67, 8848, No update data, 9g3qx3d293v3
Bird, MEX, 25140f1f-106b-4ac1-9c24-383c0349c583, 93, 13694, No update data, 9g3qx203nu2s
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 97, 14362, No update data, 9g3qx202ygjd
