Bird, MEX, a4e2d25a-6ab6-4d00-bef6-65b5f22f3daa, 66, 9185, No update data, 9g3qx3kkn4r2
Bird, MEX, 6ee4517f-d25f-4800-a33b-b711101143f4, 100, 14863, No update data, 9g3qx3kknjxm
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 98, 13746, No update data, 9g3qx3kknjzr
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 99, 14696, No update data, 9g3qx2zr24vw
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 97, 13588, No update data, 9g3qx2zq6u5m
Bird, MEX, 47228861-e8c3-49cc-98b4-75de03f0f164, 100, 14062, No update data, 9g3qx230g89d
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 100, 14062, No update data, 9g3qx28c7j2j
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 100, 14062, No update data, 9g3qx28bej0j
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 100, 14062, No update data, 9g3qx23074ym
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 100, 14062, No update data, 9g3qx230718j
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 89, 12324, No update data, 9g3qx2306ttn
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 27, 2528, No update data, 9g3qx2zs2uhj
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 72, 9638, No update data, 9g3qx2xv2zuh
Bird, MEX, 793e6f61-4322-460a-a485-d14350dc6eca, 94, 13861, No update data, 9g3qx2zt2jmt
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 51, 6320, No update data, 9g3qx3p2eked
Bird, MEX, 136250ad-1ef5-48cc-b050-c340a32cf99b, 97, 13588, No update data, 9g3qx2ztccyg
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 43, 5344, No update data, 9g3qx2rv4tth
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 100, 14062, No update data, 9g3qx2zth7nm
Bird, MEX, a8d06d92-6299-45aa-8e05-215712678baa, 99, 13904, No update data, 9g3qx2zw4x82
Bird, MEX, fc7e8f5a-73f8-4b6c-b6c5-d8d746b0d1e3, 91, 12640, No update data, 9g3qx2pwd15u
Bird, MEX, 60e2f2df-cb62-4dcb-8f26-40e62e79a603, 89, 12324, No update data, 9g3qx3msh7y3
Bird, MEX, c0f05e2c-0c1e-42bc-8fae-6abf1fb6e8d7, 100, 14062, No update data, 9g3qx21hh9um
Bird, MEX, 3b06a00e-1530-498f-9621-456dd5ac1bc8, 100, 14062, No update data, 9g3qx215thhx
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 99, 14696, No update data, 9g3qx215sqn5
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 100, 14062, No update data, 9g3qx215sppc
Bird, MEX, 42adbca0-ad2f-4c00-aa33-4c9f7db1dc39, 94, 13861, No update data, 9g3qx215g9py
Bird, MEX, 601d82b6-d04f-4d82-ac61-b36d93584c9d, 51, 6680, No update data, 9g3qx3nxz3pr
Bird, MEX, 0e92d871-7d97-421b-b335-bebc3ed80d86, 100, 14062, No update data, 9g3qx215g8xf
Bird, MEX, 29b827a4-694c-42a2-9685-1461cbbfa3c1, 75, 10112, No update data, 9g3qx3msxs3y
Bird, MEX, a52bd323-d960-4420-806b-6fc992dcf913, 93, 13694, No update data, 9g3qx2157ku8
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 98, 14529, No update data, 9g3qx2157n8h
Bird, MEX, aad7b5fb-642d-4670-91be-c2cd80aa5eff, 94, 13861, No update data, 9g3qx215dk9c
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 98, 14529, No update data, 9g3qx215d90h
Bird, MEX, c3e1e665-6178-4a21-ab4d-539424c11b44, 48, 5846, No update data, 9g3qx2b2u0dg
Bird, MEX, 1db95589-817c-4beb-a7ab-17a471e18bd4, 99, 14696, No update data, 9g3qx3pcf57v
Bird, MEX, f95e118a-4a69-44fa-b0af-b5b674c8bc3f, 99, 14696, No update data, 9g3qx3pcf6f1
Bird, MEX, 8e7fdbec-d7de-4d16-9f49-9c03cf8c69c3, 100, 14062, No update data, 9g3qx3pcf3x1
Bird, MEX, f06223e8-fd65-4e99-9011-dd689f3ae6ba, 99, 10384, No update data, 9g3qx3pc7e3b
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 97, 13588, No update data, 9g3qx8bnec0j
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 97, 13588, No update data, 9g3qx8bjv5hg
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 88, 12859, No update data, 9g3qx8bnhgrz
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 96, 14195, No update data, 9g3qx8bnhgzc
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qx8bnjrff
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 96, 14195, No update data, 9g3qx8bnjxw0
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 94, 13114, No update data, 9g3qx8bnty5h
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 99, 13904, No update data, 9g3qx8bnncvv
Bird, MEX, 2568661c-9c45-470b-aa17-8661d3a361eb, 46, 5530, No update data, 9g3qx3t1bm7c
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 90, 13193, No update data, 9g3qx8bq0nm9
Bird, MEX, d7cc1f30-d796-4b3b-b9d6-f74d31d7f1dd, 98, 13746, No update data, 9g3qx8bq0fhp
Bird, MEX, 2ad972c1-6166-4377-a4d3-a430c68e9dda, 78, 10586, No update data, 9g3qx3t470nt
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 98, 13746, No update data, 9g3qx8bq1t7e
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 97, 14362, No update data, 9g3qx20mfx2j
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 70, 9322, No update data, 9g3qx82wfrdp
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 97, 14362, No update data, 9g3qx20mcynt
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 94, 13861, No update data, 9g3qx20mcgww
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 42, 5177, No update data, 9g3qx2bqchdh
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 88, 12859, No update data, 9g3qx20m3ybq
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 88, 12859, No update data, 9g3qx20m3m8q
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 97, 14362, No update data, 9g3qx20m8syg
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 100, 14062, No update data, 9g3qx2092f7c
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 100, 14062, No update data, 9g3qx203xc4k
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 100, 14062, No update data, 9g3qx20908bx
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 99, 13904, No update data, 9g3qx20900vr
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 96, 14195, No update data, 9g3qx203prpj
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 70, 9322, No update data, 9g3qx3r6g9cg
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 99, 14696, No update data, 9g3qx20848bp
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 96, 14195, No update data, 9g3qx202zg6k
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 100, 14062, No update data, 9g3qx2082xwf
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 97, 14362, No update data, 9g3qx2088p08
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 100, 14062, No update data, 9g3qx203ndfd
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 99, 14696, No update data, 9g3qx2082pm2
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 97, 14362, No update data, 9g3qx2080xqz
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 99, 14696, No update data, 9g3qx202xeuj
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 51, 6680, No update data, 9g3qx33zm6fy
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 96, 14195, No update data, 9g3qx202x32v
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd7u380
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 94, 13861, No update data, 9g3qx202y2s6
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 100, 14863, No update data, 9g3qrrbxbr7t
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 100, 14062, No update data, 9g3qx202vuh0
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 99, 14696, No update data, 9g3qx202w411
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 97, 14362, No update data, 9g3qx202nvj8
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 97, 14362, No update data, 9g3qx202ndfd
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 92, 12798, No update data, 9g3qx3ehnh1h
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 99, 13904, No update data, 9g3qx902znhn
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx903y2ut
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx903ygjg
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx90920v8
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 84, 11534, No update data, 9g3qx328yd4t
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 100, 14062, No update data, 9g3qx906n8rs
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 98, 13746, No update data, 9g3qx907g3e9
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 53, 7014, No update data, 9g3qrrbrk0pg
Bird, MEX, 1d75f469-da71-4c41-834c-def856ddcf8e, 83, 11376, No update data, 9g3qrxbj3ybw
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 89, 12324, No update data, 9g3qx32gtwvb
Bird, MEX, 7a33a638-3bfb-4c91-86d5-3fde981c6c15, 42, 4898, No update data, 9g3qx89n0wr0
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 45, 5372, No update data, 9g3qx0rsfm3b
Bird, MEX, 769dcc13-d4ef-49ed-a5e3-5a6bec6eb371, 100, 14062, No update data, 9g3qx90s1pf6
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 100, 14062, No update data, 9g3qx90s90pr
Bird, MEX, 910e0312-ca5a-4e21-8e8c-70afb537ec5e, 100, 14062, No update data, 9g3qx90s3qtm
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qrxbrx731
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 100, 14863, No update data, 9g3qx90mxfxw
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 100, 14062, No update data, 9g3qx90sh204
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90t4dt3
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 100, 14062, No update data, 9g3qx90fb8bv
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 64, 8374, No update data, 9g3qrr97r3r5
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 71, 10020, No update data, 9g3qrr9dcmjr
Bird, MEX, a8755e9e-8c3a-4897-a6e2-6f85388bc193, 100, 14062, No update data, 9g3qrr7uge3e
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 98, 13746, No update data, 9g3qx90fdr44
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 100, 14062, No update data, 9g3qrr7ubg7g
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 99, 13904, No update data, 9g3qx90cusek
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7ueh82
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 99, 13904, No update data, 9g3qx90fex1f
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 65, 8532, No update data, 9g3qx837b2gu
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 96, 13430, No update data, 9g3qx90fspem
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90cvgep
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx90cyerv
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 100, 14863, No update data, 9g3qx92hhvxv
Bird, MEX, 10cc64c2-a551-4a15-ab0b-56f0722cceb4, 94, 13114, No update data, 9g3qx92hjq6c
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 93, 12956, No update data, 9g3qx92hjrpz
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 98, 14529, No update data, 9g3qx92hm34f
Bird, MEX, ff3423ac-9941-48db-9d41-80f78ce0143a, 94, 13114, No update data, 9g3qx0p94eky
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 96, 13430, No update data, 9g3qrpzwxbd2
Bird, MEX, 2c743466-1107-42c5-ba96-4748e6fa3269, 99, 13904, No update data, 9g3qrpzwx5eg
