Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 81, 11060, No update data, 9g3qx0zdu82v
Bird, MEX, 263bac85-a415-4676-8eb2-2dc047c8551c, 58, 7426, No update data, 9g3qrrky8er1
Bird, MEX, 0e910264-2033-4ff4-a24a-a43ee81ef4a9, 43, 5056, No update data, 9g3qx90dfxjk
Bird, MEX, d6fb2228-6acd-4340-94e6-5c7e1a94cd11, 44, 5214, No update data, 9g3qx90krupw
Bird, MEX, 3dd19c91-ab8d-4a44-bd4b-9bdc9980c895, 85, 11692, No update data, 9g3qrrbbgny3
Bird, MEX, 322a1b2f-8a88-40f2-b873-053550014c32, 49, 6004, No update data, 9g3qrrbbexzy
Bird, MEX, 944cecca-8695-4f47-99d0-29e69db816c3, 58, 7426, No update data, 9g3qrrxmfej1
Bird, MEX, 2b6047ff-900f-4b79-92d5-d7d63149c230, 97, 13588, No update data, 9g3qx90t7ybp
Bird, MEX, 70422cfb-d630-47da-a7c5-35e12afb4fc8, 55, 7348, No update data, 9g3qx0r7dq3v
Bird, MEX, bda16c95-58b9-4693-ae77-01b51087607a, 78, 10586, No update data, 9g3qrr9d82g9
Bird, MEX, d4ffbb54-d3eb-4811-91dc-9b98d61e8ca3, 79, 10744, No update data, 9g3qrr7sqgvf
Bird, MEX, bf30b98e-2df3-4b11-a149-bde399e79da0, 61, 7900, No update data, 9g3qx3epc978
Bird, MEX, 89e80ba2-b424-46cb-9fcb-683f0c9ca009, 85, 11692, No update data, 9g3qrr75ykk3
Bird, MEX, 31471d27-948f-45bc-9c7f-42646fca79b1, 48, 5846, No update data, 9g3qx3v33fqg
Bird, MEX, 8b04fc6d-d093-480c-8f6b-269e9d5d12b3, 34, 3634, No update data, 9g3qx39ymm4u
Bird, MEX, 34a33b4c-ca5c-430e-9a71-af9c9275c1db, 61, 7900, No update data, 9g3qrrkfn4pq
Bird, MEX, a8b4e8fa-949a-44bb-a931-45aeeb79e9ab, 81, 11690, No update data, 9g3qx389h5xb
Bird, MEX, 680a4e60-43b6-4323-858f-4af8e15b3b3e, 64, 8851, No update data, 9g3qx389mq4f
Bird, MEX, d7603a20-bdf5-4c56-8cd6-c1a15b8606fc, 60, 7742, No update data, 9g3qrr6fk6q0
Bird, MEX, 3a89692e-e82f-4164-abb9-42d1fadca724, 80, 10902, No update data, 9g3qrrxfee3c
Bird, MEX, c6161f7d-4de4-4310-a370-dc0cebcb8b4b, 48, 5846, No update data, 9g3qrxcnh172
Bird, MEX, c6ffc82a-5747-492b-bb86-f3c4c697357e, 82, 11218, No update data, 9g3qrrk8tuhq
Bird, MEX, 4957b2dc-a7d2-4ab1-9284-b10038560808, 54, 6794, No update data, 9g3qrpzbsf13
Bird, MEX, 6b0025d4-8011-4190-a878-6ea62ec6ce1a, 65, 8532, No update data, 9g3qrrk276e6
Bird, MEX, 293b9c8b-2f96-4b2a-8a65-346f3ac8c291, 42, 4898, No update data, 9g3qrrk8kurw
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 89, 12324, No update data, 9g3qrrk0pjs5
Bird, MEX, 68b89fd0-0351-4f26-a1a8-0f2027b1c80b, 61, 7900, No update data, 9g3qrrq4rjkh
Bird, MEX, 2640b6ff-78e0-44eb-bc71-4980ed10610d, 91, 12640, No update data, 9g3qrrhrugre
Bird, MEX, 475987ee-1844-49dd-a969-b399595c1321, 83, 11376, No update data, 9g3qrpzq3n64
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 70, 9322, No update data, 9g3qx3f7j1ss
Bird, MEX, dcfedeeb-c69c-41f2-82f7-68c8987c0ecd, 67, 8848, No update data, 9g3qrrhpx0u1
Bird, MEX, 25d5736f-b93a-407e-97b5-eb10ccc75911, 78, 10586, No update data, 9g3qrpzkh06g
Bird, MEX, 52a290a1-5c11-4e43-a503-c41eb43248bc, 46, 5530, No update data, 9g3qx8djbvs4
Bird, MEX, a962e32f-1896-4870-ace0-48bae169446f, 72, 9638, No update data, 9g3qrrhp1h41
Bird, MEX, 7c906dcf-51d2-45d5-91fd-c0c9ccda7a7b, 64, 8374, No update data, 9g3qrrhp065y
Bird, MEX, aa162098-1077-4526-bf2b-00cb7359bb9e, 48, 5846, No update data, 9g3qrr867nbn
Bird, MEX, 5b333ada-7e76-45df-ab25-86f78e4cced3, 82, 11218, No update data, 9g3qrrjp4h7g
Bird, MEX, 2decf237-4f7d-4944-8d89-3939fbef0fd9, 84, 11534, No update data, 9g3qrr5ytqdy
Bird, MEX, 014ead84-f349-4da1-ae2f-0b2b05eedd4b, 51, 6320, No update data, 9g3qx8djs3b2
Bird, MEX, ff69b3bb-1e35-43f4-a04f-9068d11de562, 65, 8532, No update data, 9g3qx1n8zyf4
Bird, MEX, abd632b4-0a7d-4bed-be93-272dae2ad3d5, 57, 7268, No update data, 9g3qrpz70tqf
Bird, MEX, d6c3969d-fd00-4ed5-a276-b423f443d07d, 52, 6478, No update data, 9g3qrr3j2xbe
Bird, MEX, 76e3c309-ade2-4abe-ab25-5db11cc9c9b7, 39, 4424, No update data, 9g3qx8dnw7ss
Bird, MEX, 5757cb9e-c12a-45e5-b582-769465856fe1, 81, 11060, No update data, 9g3qrr82fy7p
Bird, MEX, 959aaa7d-07f6-4d55-ad45-c44b9987c957, 48, 5846, No update data, 9g3qrr5n7rhx
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qrr2x4fgd
Bird, MEX, 806d5441-7692-4b6f-aa33-cc6528fb1d11, 84, 11534, No update data, 9g3qrr2rwvb8
Bird, MEX, eb4aa282-9f57-47d1-92b8-0a09d0dd090a, 74, 9954, No update data, 9g3qrr4vwxp8
Bird, MEX, 7d60b633-4947-4919-b8f0-3834f3ade6b6, 49, 6004, No update data, 9g3qx3fxscpw
Bird, MEX, b74bc47d-a267-4f18-9f77-a6a38f9287f3, 48, 5846, No update data, 9g3qx8fm5sqv
Bird, MEX, 7e603b4d-03ab-428e-9779-963c1277a9bf, 45, 5372, No update data, 9g3qx0wp49uv
Bird, MEX, 734a6853-235a-4caa-8d30-acd32c1036ec, 61, 7900, No update data, 9g3qx94j1nzm
Bird, MEX, d93fe58b-091c-4157-913f-415a62fe7b15, 60, 7742, No update data, 9g3qrx94fg53
Bird, MEX, a7525d18-6446-405c-93d6-afc1ab5fd734, 17, 948, No update data, 9g3qrrh67m53
Bird, MEX, 7e3772cd-373c-4896-aad1-e19dc9a1c5eb, 71, 9480, No update data, 9g3qrrh43f8d
