Bird, MEX, 5a99ed8d-fd9f-4eab-9c8d-6279e617727f, 48, 5846, No update data, 9g3qrqcdet1s
Bird, MEX, b41093af-3634-4254-a11b-49182b6668e8, 76, 10855, No update data, 9g3qrptq94cz
Bird, MEX, e54e71e0-b3e3-4953-85b2-4fd3068bc69c, 62, 8058, No update data, 9g3qrqsnw2hk
Bird, MEX, 6b994417-3972-456c-b266-066efcb70ae3, 87, 12008, No update data, 9g3qrptm9kt1
Bird, MEX, 1d06f57d-8b0e-4b14-ad3f-91b0a24976ec, 83, 11376, No update data, 9g3qrqsmg9pv
Bird, MEX, 1dc14678-8d51-4960-a4af-de338fc02278, 65, 8532, No update data, 9g3qrx6ssw7k
Bird, MEX, fa493f5a-39dd-46b8-9791-69d6df7e9b2b, 58, 7426, No update data, 9g3qrx63dxm6
Bird, MEX, 1d8bd0d2-cb13-4e6d-b986-4955fde74a48, 96, 13430, No update data, 9g3qrxun2pmb
Bird, MEX, 98c31139-abf7-49a6-a237-4604186a6796, 15, 632, No update data, 9g3qx0kjkmwp
Bird, MEX, fee1a7bc-b4af-4033-9d30-71438279a940, 81, 11060, No update data, 9g3qrx63yzn4
Bird, MEX, acb95401-dade-4d7f-9b73-527cb48c42e8, 55, 6952, No update data, 9g3qrx63zzrs
Bird, MEX, a5c7ff1a-9778-4944-8dbd-841df81f5864, 46, 5845, No update data, 9g3qrpnpynrq
Bird, MEX, 4f45d79b-2e81-4704-8e0c-491cb1a69059, 49, 6004, No update data, 9g3qrqww1v28
Bird, MEX, 1ca207c0-6ad8-4474-af60-24480ac46941, 48, 5846, No update data, 9g3qrqe7gghb
Bird, MEX, a6856924-59d9-4541-b679-474c40e01766, 31, 3340, No update data, 9g3qrqdunsre
Bird, MEX, 58591e56-e3a4-4138-8fbf-8f0aedf093c1, 58, 7426, No update data, 9g3qrx1gy6sx
Bird, MEX, 84828a7c-cd51-4eb3-be91-9254733d2aff, 57, 7268, No update data, 9g3qrqdun8de
Bird, MEX, d8dfaa99-7b51-47f5-803c-b488760aca9b, 80, 10902, No update data, 9g3qrqwkbvhn
Bird, MEX, df47190a-3db5-4859-bb05-382c9de9a7f9, 44, 5214, No update data, 9g3qrqwt6stp
Bird, MEX, 0b956cb0-8571-4bba-9f1b-e9b8620d90b0, 48, 5846, No update data, 9g3qrqds4t84
Bird, MEX, b8a351ac-7ecc-4c31-a15b-cb1bd9dbd890, 66, 8690, No update data, 9g3qrx6gq3ss
Bird, MEX, 55c878ad-601b-4c85-b924-c2ab40a6907f, 48, 5846, No update data, 9g3qrqdecrvr
Bird, MEX, 3db354ea-80df-45b7-99c2-797aaefc1970, 92, 12798, No update data, 9g3qrnzpp1ec
Bird, MEX, 463e7cd3-adfc-484b-a176-edf88a29f41f, 49, 6004, No update data, 9g3qrpn7pjgv
Bird, MEX, 31558ca0-2e43-47d0-8160-1c14fb6dc66a, 100, 14062, No update data, 9g3qx8su5mgy
Bird, MEX, a6dbbfa9-aac9-4ca6-a1c4-ae131ca613ff, 94, 13114, No update data, 9g3qrqddgwry
Bird, MEX, 3d4ad807-bbeb-405f-9674-715408733b22, 75, 10112, No update data, 9g3qrpnb9qj4
Bird, MEX, 5f54ebd0-d65e-4f3a-95eb-4b1c153fb85c, 100, 14062, No update data, 9g3qx8sguycd
Bird, MEX, 15fe048b-ca41-4184-a519-7bd3b7692496, 65, 8532, No update data, 9g3qx9k3ed1g
Bird, MEX, aaa5200b-f8d0-4d1e-883e-20bd57b0db28, 88, 12166, No update data, 9g3qrpn8xgfh
Bird, MEX, 1a3bc416-5d23-4e41-94d3-9cb3143dd60c, 70, 9322, No update data, 9g3qrwcqr630
Bird, MEX, 602832bb-685a-4fea-9670-33629841e249, 62, 8058, No update data, 9g3qx9k3u0gm
Bird, MEX, 66816b0a-9cf9-4743-a89f-382a0131c14b, 46, 5530, No update data, 9g3qrnzdyb0x
Bird, MEX, 50edefc2-acd5-436d-887d-ad5e38336cd0, 76, 10270, No update data, 9g3qrwczmxnp
Bird, MEX, fcddab9e-4f8f-4b25-95a2-05ae74baa953, 93, 12956, No update data, 9g3qrnyvkvre
Bird, MEX, 1c0b2ef6-2bc2-489e-be07-9a888f425e50, 91, 12640, No update data, 9g3qrqkr8hmx
Bird, MEX, 2c03009e-3e46-4036-8109-7c2d1d1b9e32, 89, 13026, No update data, 9g3qrnyvkgc3
Bird, MEX, c4ec487a-0cf5-4494-a22e-3a28888ca571, 55, 7348, No update data, 9g3qrnyvcrj4
Bird, MEX, 98a70388-fd0b-4a6c-8f63-15ae419f4d3d, 54, 6794, No update data, 9g3qrnyvf4kv
Bird, MEX, 89715691-480f-4a73-8e79-066f342879a2, 56, 7110, No update data, 9g3qrnyvkfck
Bird, MEX, 03c9eb3c-a3cb-4d0b-9612-3bd6847e8074, 52, 6478, No update data, 9g3qrnyvkb16
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 42, 4898, No update data, 9g3qrwfp49v7
Bird, MEX, 85b2faf0-bf39-4d8e-b316-e423910f3cc2, 85, 11692, No update data, 9g3qrqw05xcb
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 58, 7426, No update data, 9g3qrpktzrqu
Bird, MEX, 5124fad0-f236-4aa3-aab4-74a935d7e8e3, 75, 10112, No update data, 9g3qrqw9p715
Bird, MEX, c46a5db9-e572-4f78-a8c6-034d7a81d5fd, 80, 10902, No update data, 9g3qrq8gpqx0
Bird, MEX, 0485859b-cb57-40d5-92c6-cb42108e4902, 65, 8532, No update data, 9g3qrpjcyrh4
Bird, MEX, 9fd728a8-d70e-4e48-94db-8fe585f60070, 30, 3002, No update data, 9g3qrq94scrs
Bird, MEX, e7d8d72a-86e6-4863-9535-aa8a733dbb05, 84, 11534, No update data, 9g3qrwc1q9pb
Bird, MEX, 03f69e84-1f4a-44a4-83e8-505ad2bc6a1e, 56, 7110, No update data, 9g3qrpksrpgg
Bird, MEX, d9065476-c2ce-48f4-84f4-92104f7ca671, 49, 6004, No update data, 9g3qrx4gk2n6
Bird, MEX, b3fd75dd-62fc-4d00-aef5-7c345ca66079, 78, 10586, No update data, 9g3qrpkstxby
Bird, MEX, e804b161-7aee-459e-839a-94828863aeb9, 27, 2528, No update data, 9g3qrpkstxby
Bird, MEX, 3d850764-5537-4c8a-a58d-997d7e4d5bed, 29, 2844, No update data, 9g3qrpksmxtc
Bird, MEX, 2440c0db-e48b-403a-8305-9fc65ef403e4, 76, 10270, No update data, 9g3qrwcds8g2
Bird, MEX, 3f395dda-14b8-4292-8c7e-9833709f5f4e, 89, 12324, No update data, 9g3qrwfrqdfu
Bird, MEX, 423d36b9-8cb3-4e83-ad2a-efce033261c9, 79, 10744, No update data, 9g3qrq7jveyn
Bird, MEX, e77b9d41-bb89-42f7-bfc7-278b3d486cc8, 89, 12324, No update data, 9g3qrnxwrvfr
Bird, MEX, b7ed3905-1d1a-425b-8074-41c297a19a41, 71, 9480, No update data, 9g3qrx485h09
Bird, MEX, 33ae860b-a05a-42e8-ab6e-88d41ab63d7e, 57, 7268, No update data, 9g3qrwfx2xx1
Bird, MEX, 744ea8bc-1663-4fcc-90f0-f3a9f3440171, 78, 10586, No update data, 9g3qrq7js8kq
Bird, MEX, 64b3f753-f2df-4c32-bdc9-d73967e8a883, 78, 10586, No update data, 9g3qrnxtyrkk
Bird, MEX, 1949ed2d-802f-4191-afad-8f01568b5d27, 70, 9322, No update data, 9g3qrw8v7h07
