Bird, MEX, 490447c8-ba3a-45c7-9eb7-379184751952, 87, 12692, No update data, 9g3qrr6tu3qp
Bird, MEX, ee62f88f-fa66-44b4-a49d-390c313503f6, 84, 11534, No update data, 9g3qrpzyhp6z
Bird, MEX, 00b0d756-5ebf-43a9-97a0-2a7df561d007, 97, 13588, No update data, 9g3qrpzvqpch
Bird, MEX, f0a8531c-bd99-48ce-8fba-ab6d6e779b91, 100, 14062, No update data, 9g3qrr6te7k9
Bird, MEX, 00dd1c81-f029-4506-9b2e-99f8eb015cb0, 57, 7268, No update data, 9g3qx3dnk38p
Bird, MEX, 4c1a84cb-934d-49c9-b1a9-7c5a034a3916, 71, 9480, No update data, 9g3qrpzvkmn4
Bird, MEX, bdc48361-aa21-4b4d-aa06-d58564c9e4b6, 97, 13588, No update data, 9g3qrpzvfvg5
Bird, MEX, e3b2fc13-e370-4da8-8067-69ace31ede09, 98, 13746, No update data, 9g3qrpzuugrs
Bird, MEX, ca9f5b8e-e009-41e2-8464-196fecc5cacb, 51, 6320, No update data, 9g3qx9147bb0
Bird, MEX, ffe4ad88-7ed0-459b-9765-7edf555ad6a1, 49, 6004, No update data, 9g3qx89xfh5b
Bird, MEX, 5e04bfc6-7f8e-4627-8d0a-8c7713cc38b4, 17, 948, No update data, 9g3qx3vc4924
Bird, MEX, 08df6402-8cc6-489f-aaa6-74ad1b616390, 51, 6320, No update data, 9g3qx3vc280v
Bird, MEX, fb86ed15-bb7a-4bc9-b21e-d9083bb6d781, 87, 12008, No update data, 9g3qx0p82qx4
Bird, MEX, c6ffc82a-5747-492b-bb86-f3c4c697357e, 83, 11376, No update data, 9g3qrrk9gn0k
Bird, MEX, 000ba269-90ce-4793-8cad-cc1b6f208bd5, 78, 10586, No update data, 9g3qx91n4jgz
Bird, MEX, 79879829-c332-4cf4-90d3-71f11ac30fe6, 30, 3002, No update data, 9g3qx917be2v
Bird, MEX, 72f67546-5843-44cf-9960-e741218634ad, 80, 10902, No update data, 9g3qrr6dsjg0
Bird, MEX, 223194b4-14fd-4a7a-af7c-a553b2951777, 46, 5530, No update data, 9g3qrrk8v8np
Bird, MEX, d7603a20-bdf5-4c56-8cd6-c1a15b8606fc, 62, 8058, No update data, 9g3qrr6fh0gn
Bird, MEX, 0c9d15c4-c34c-42f0-9cc6-d6679da5d99e, 52, 6478, No update data, 9g3qrrk8e93t
Bird, MEX, 0c78f3e1-e790-484d-9108-f26555ddd0c1, 83, 11376, No update data, 9g3qrrm9z3z3
Bird, MEX, b0751d79-4611-4f2c-ba2d-e458d72d1e5f, 47, 5688, No update data, 9g3qrrk8ksu8
Bird, MEX, dcfedeeb-c69c-41f2-82f7-68c8987c0ecd, 69, 9164, No update data, 9g3qrrk0p6pn
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 91, 12640, No update data, 9g3qrrk211fh
Bird, MEX, c9cc89be-e551-4720-98fd-b4eee7567ef1, 82, 11218, No update data, 9g3qrrq4mtqh
Bird, MEX, 334cd0e1-d15c-4076-9086-cd1ab2e610a3, 48, 5846, No update data, 9g3qx3fe1x5x
Bird, MEX, 76f90abe-6d75-41ac-9153-4e8021d788c5, 42, 4898, No update data, 9g3qx3f6vxjv
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 71, 9480, No update data, 9g3qx3f7j2rv
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 96, 13430, No update data, 9g3qrpz7wyjd
Bird, MEX, 28fbe13b-c57f-48e8-9dba-2bdfdddc7d8f, 99, 13904, No update data, 9g3qrpzkjmds
Bird, MEX, ff69b3bb-1e35-43f4-a04f-9068d11de562, 67, 8848, No update data, 9g3qx1nb7x39
Bird, MEX, 52a290a1-5c11-4e43-a503-c41eb43248bc, 47, 5688, No update data, 9g3qx8dnb0vv
Bird, MEX, 15756985-62a6-4a0f-8daf-be2d4e93f57d, 94, 13114, No update data, 9g3qrrqdum81
Bird, MEX, 89a3e13e-7d75-47ad-9d6a-aa1415ef35f1, 99, 13904, No update data, 9g3qrpz7kb3m
Bird, MEX, 2b15b889-8880-47f0-a28c-2aa2b12c1dae, 52, 6478, No update data, 9g3qrrqd3f28
Bird, MEX, aa162098-1077-4526-bf2b-00cb7359bb9e, 49, 6004, No update data, 9g3qrr86dfgp
Bird, MEX, dfd960c5-7817-483f-9354-adbac6a0a112, 96, 14195, No update data, 9g3qrpz77s3w
Bird, MEX, 8c84f6e0-1299-4ba5-a3b9-5cfaef087813, 51, 6320, No update data, 9g3qrrq9bwrn
Bird, MEX, 3df74c3d-c070-441f-bf3c-e49eaaaa938a, 72, 9638, No update data, 9g3qrxc11v8e
Bird, MEX, ac53e1a7-12b4-48a1-844e-35c07754d5e0, 87, 12008, No update data, 9g3qrpz764uv
Bird, MEX, da6f825a-8ffc-4e32-9287-4481d0261915, 44, 5214, No update data, 9g3qrrjng48r
Bird, MEX, b5998df0-011f-49ae-9fe8-22c792d25569, 98, 13746, No update data, 9g3qrpz6erh8
Bird, MEX, 9ca85088-4ce5-4ace-935f-d35f8ded0a6f, 97, 14362, No update data, 9g3qrpz6hdhq
Bird, MEX, b539c21c-9311-4a44-854b-29213eb7be2d, 97, 13588, No update data, 9g3qrpz68x2d
Bird, MEX, 5086ae5c-3bab-4dc3-9a96-d144bcd3b4f6, 60, 8183, No update data, 9g3qx86nzq90
Bird, MEX, 76e3c309-ade2-4abe-ab25-5db11cc9c9b7, 40, 4582, No update data, 9g3qx8dnx2c4
Bird, MEX, 806d5441-7692-4b6f-aa33-cc6528fb1d11, 87, 12008, No update data, 9g3qrr82hbp8
Bird, MEX, d6c3969d-fd00-4ed5-a276-b423f443d07d, 53, 6636, No update data, 9g3qrr3h2wqc
Bird, MEX, 05917ef2-046a-4de0-a4da-e0a2b22e5f75, 82, 11857, No update data, 9g3qx91gks5q
Bird, MEX, 3da7e090-4588-43bf-897d-466e0607fd21, 98, 13746, No update data, 9g3qrr4vyrsq
