Bird, MEX, 9216a4bc-ecdb-4569-8679-634d6e5b7025, 97, 14362, No update data, 9g3qx20mmd8g
Bird, MEX, 74379b1f-e56e-4a16-8a8f-f853c98b23aa, 99, 13904, No update data, 9g3qx20mj80c
Bird, MEX, 44104cd9-b93b-42cf-a2ab-ab68508b46c5, 99, 13904, No update data, 9g3qx20msndz
Bird, MEX, 9e4d8faf-4321-4b9a-ad2d-98872ccd6ca3, 69, 9164, No update data, 9g3qrrbzcy2r
Bird, MEX, cab00e91-b892-4426-8347-ddc609491f33, 88, 12166, No update data, 9g3qx3r3hmyr
Bird, MEX, c0331136-955c-4c1d-bf9f-0c3c797c9635, 98, 13746, No update data, 9g3qx20mb10q
Bird, MEX, ed7aef40-ba52-46a8-b70e-311488287901, 98, 14529, No update data, 9g3qx208dpkf
Bird, MEX, abb16bc6-8bee-460a-bec6-00551aa50640, 98, 13746, No update data, 9g3qx208c8gk
Bird, MEX, 15715a2e-6726-43bd-9922-236a169cf519, 71, 9480, No update data, 9g3qx203ru6q
Bird, MEX, 54a76fd1-3ab7-437e-9729-c9ae674b046d, 99, 13904, No update data, 9g3qx203qvjd
Bird, MEX, 244962f6-9655-4a24-a38b-b00697a0e46a, 99, 13904, No update data, 9g3qx206j0h9
Bird, MEX, 691990b3-248a-4d43-a31c-09f7ad2a19c0, 49, 6004, No update data, 9g3qrrwzkb1e
Bird, MEX, d0c3498a-931a-4849-8659-93aa44f30d7d, 90, 12482, No update data, 9g3qrrbwuyz9
Bird, MEX, 2bcef7f2-4618-40b8-b515-ef1391651334, 98, 13746, No update data, 9g3qx90hf6f1
Bird, MEX, 888b195a-e8de-42cc-987f-eb0972eb1866, 43, 5056, No update data, 9g3qrrbx1qv5
Bird, MEX, f75cb28b-cba5-4dfd-a5eb-a5c92662d6f6, 100, 14062, No update data, 9g3qx3ehpq2c
Bird, MEX, f0d09a08-9c96-4366-9170-5bf1483363e3, 98, 13746, No update data, 9g3qx90jj74v
Bird, MEX, 5e0be0da-7af7-4766-ad27-75d50f6cdb62, 100, 14062, No update data, 9g3qx3ehr2bc
Bird, MEX, fd6c9f13-417a-4d89-8048-afceeac69925, 100, 14062, No update data, 9g3qx0pvp6z4
Bird, MEX, ad499f75-2405-494f-b96e-ac9727a1e898, 64, 8374, No update data, 9g3qx82fkjer
Bird, MEX, ba586764-1109-486e-81c6-f967576383da, 90, 12482, No update data, 9g3qrr9qdsjp
Bird, MEX, 322a1b2f-8a88-40f2-b873-053550014c32, 49, 6004, No update data, 9g3qrrbcs3wp
Bird, MEX, 6842d2ba-1857-4e11-aca9-98148c3561cb, 99, 13904, No update data, 9g3qx0pg7rsd
Bird, MEX, 45758387-0395-4df9-a763-7c37e57b5695, 67, 8848, No update data, 9g3qrrktv76g
Bird, MEX, 8de05e47-3a4d-4575-b81d-d653057d1aa2, 67, 9352, No update data, 9g3qx0pubn2r
Bird, MEX, 74ba9dbd-56b4-4809-9003-9fa926447d91, 91, 12640, No update data, 9g3qx3spwedt
Bird, MEX, ac53e1a7-12b4-48a1-844e-35c07754d5e0, 88, 12166, No update data, 9g3qx0pswcmw
Bird, MEX, f297c4a2-19a4-45b2-8fe7-ca04295f3e65, 93, 12956, No update data, 9g3qx0pexpgy
Bird, MEX, 5695864c-38e8-42c8-8a36-6d1bc1936f68, 78, 11189, No update data, 9g3qx90w9p6k
Bird, MEX, 9c4e2605-80c1-4b6c-a583-95711c43853c, 98, 13746, No update data, 9g3qx0pejsty
Bird, MEX, dfd960c5-7817-483f-9354-adbac6a0a112, 97, 14362, No update data, 9g3qx0pescc2
Bird, MEX, 98c2052d-b01b-48db-8cfa-66631f051f9e, 74, 9954, No update data, 9g3qrrw83w58
Bird, MEX, b5998df0-011f-49ae-9fe8-22c792d25569, 98, 13746, No update data, 9g3qx0pehvrd
Bird, MEX, 2b6047ff-900f-4b79-92d5-d7d63149c230, 100, 14062, No update data, 9g3qx90wk20h
Bird, MEX, c9e87e37-0c60-457e-8979-afa8e3663be7, 90, 12482, No update data, 9g3qx0p9xss1
Bird, MEX, 8634b308-e459-4833-972d-a678af79a3cb, 89, 12324, No update data, 9g3qx0r72xwf
Bird, MEX, 0c4f052f-4c9f-4ec8-98e1-58c79947d64d, 43, 5056, No update data, 9g3qx0p9vfu0
Bird, MEX, 28fbe13b-c57f-48e8-9dba-2bdfdddc7d8f, 100, 14062, No update data, 9g3qx0pdhzc3
Bird, MEX, 490447c8-ba3a-45c7-9eb7-379184751952, 90, 13193, No update data, 9g3qrr6w599d
Bird, MEX, cea54814-f2fd-41b1-b30c-b5b404750525, 57, 7268, No update data, 9g3qx0pdeuue
Bird, MEX, f0a8531c-bd99-48ce-8fba-ab6d6e779b91, 100, 14062, No update data, 9g3qrr6tgtpz
Bird, MEX, 9ca85088-4ce5-4ace-935f-d35f8ded0a6f, 98, 14529, No update data, 9g3qx0p9ufrw
Bird, MEX, b539c21c-9311-4a44-854b-29213eb7be2d, 98, 13746, No update data, 9g3qx0pe3fq9
Bird, MEX, 4c1a84cb-934d-49c9-b1a9-7c5a034a3916, 71, 9480, No update data, 9g3qrpzz5025
Bird, MEX, e3b2fc13-e370-4da8-8067-69ace31ede09, 98, 13746, No update data, 9g3qrpzz621g
Bird, MEX, fae398d9-b025-46e6-91a8-1278a8ffe514, 100, 14062, No update data, 9g3qrr6tg1y3
Bird, MEX, 4535265b-7b12-4b6c-abf8-6ee7fd7353d7, 99, 13904, No update data, 9g3qx0p9u3y4
Bird, MEX, fc2ac991-ff6d-41bb-aa94-ff0ab33a5e38, 94, 13114, No update data, 9g3qrr995zuc
Bird, MEX, bdc48361-aa21-4b4d-aa06-d58564c9e4b6, 98, 13746, No update data, 9g3qrpzz1u2k
Bird, MEX, ee62f88f-fa66-44b4-a49d-390c313503f6, 84, 11534, No update data, 9g3qrpzz1qv5
Bird, MEX, b492e94a-a425-47b5-9656-b8b063bcab64, 46, 5530, No update data, 9g3qx0pdd1hu
Bird, MEX, 5e04bfc6-7f8e-4627-8d0a-8c7713cc38b4, 18, 1106, No update data, 9g3qx3tzcwe9
Bird, MEX, 00b0d756-5ebf-43a9-97a0-2a7df561d007, 98, 13746, No update data, 9g3qrpzz0cm0
Bird, MEX, 0183fdae-bd6e-4850-ae9d-647a88c78078, 97, 13588, No update data, 9g3qx0p9dv7p
Bird, MEX, 324b13e6-ef80-4ffb-893d-69a2cc0805db, 98, 13746, No update data, 9g3qrr98czww
Bird, MEX, ca9f5b8e-e009-41e2-8464-196fecc5cacb, 51, 6320, No update data, 9g3qx9144cek
Bird, MEX, ffe4ad88-7ed0-459b-9765-7edf555ad6a1, 49, 6004, No update data, 9g3qx89rzesq
Bird, MEX, 79879829-c332-4cf4-90d3-71f11ac30fe6, 31, 3160, No update data, 9g3qx9147hnw
Bird, MEX, 000ba269-90ce-4793-8cad-cc1b6f208bd5, 79, 10744, No update data, 9g3qx914e0ye
Bird, MEX, 068f65cd-11fa-45e4-aac9-6b5b63e86983, 99, 13904, No update data, 9g3qx90y7u80
Bird, MEX, 00dd1c81-f029-4506-9b2e-99f8eb015cb0, 57, 7268, No update data, 9g3qx3dngwxc
Bird, MEX, 08df6402-8cc6-489f-aaa6-74ad1b616390, 51, 6320, No update data, 9g3qx3vbf6cf
Bird, MEX, 6ff416d5-fb74-477d-b05f-5a59a4011d28, 97, 13588, No update data, 9g3qx0p8433c
Bird, MEX, 89a3e13e-7d75-47ad-9d6a-aa1415ef35f1, 100, 14062, No update data, 9g3qx0p3vfkn
Bird, MEX, 459b8fd1-1287-4a27-b4eb-cc8f74c376de, 63, 8216, No update data, 9g3qrpzx0tyy
Bird, MEX, c6ffc82a-5747-492b-bb86-f3c4c697357e, 84, 11534, No update data, 9g3qrrk9twqh
Bird, MEX, 479f15d0-a7f4-479d-959c-9a062b32c05b, 69, 9164, No update data, 9g3qx0p35vss
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 92, 12798, No update data, 9g3qrrk0n4z3
Bird, MEX, 76f90abe-6d75-41ac-9153-4e8021d788c5, 42, 4898, No update data, 9g3qx3f6y51h
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 71, 9480, No update data, 9g3qx3f7j8jg
